syndrome_dec,syndrome_hex,syndrome_bin,flip_mask_bin,weight,indices
1,0x0001,0000000000000001,000000000000000100000000000000000000000000000000,1,32
2,0x0002,0000000000000010,000000000000001000000000000000000000000000000000,1,33
3,0x0003,0000000000000011,000000000000001100000000000000000000000000000000,2,32;33
4,0x0004,0000000000000100,000000000000010000000000000000000000000000000000,1,34
5,0x0005,0000000000000101,000000000000010100000000000000000000000000000000,2,32;34
6,0x0006,0000000000000110,000000000000011000000000000000000000000000000000,2,33;34
7,0x0007,0000000000000111,000000000000011100000000000000000000000000000000,3,32;33;34
8,0x0008,0000000000001000,000000000000100000000000000000000000000000000000,1,35
9,0x0009,0000000000001001,000000000000100100000000000000000000000000000000,2,32;35
10,0x000A,0000000000001010,000000000000101000000000000000000000000000000000,2,33;35
11,0x000B,0000000000001011,000000000000101100000000000000000000000000000000,3,32;33;35
12,0x000C,0000000000001100,000000000000110000000000000000000000000000000000,2,34;35
13,0x000D,0000000000001101,000000000000110100000000000000000000000000000000,3,32;34;35
14,0x000E,0000000000001110,000000000000111000000000000000000000000000000000,3,33;34;35
15,0x000F,0000000000001111,000000000000111100000000000000000000000000000000,4,32;33;34;35
16,0x0010,0000000000010000,000000000001000000000000000000000000000000000000,1,36
18,0x0012,0000000000010010,000000000001001000000000000000000000000000000000,2,33;36
20,0x0014,0000000000010100,000000000001010000000000000000000000000000000000,2,34;36
22,0x0016,0000000000010110,000000000001011000000000000000000000000000000000,3,33;34;36
24,0x0018,0000000000011000,000000000001100000000000000000000000000000000000,2,35;36
26,0x001A,0000000000011010,000000000001101000000000000000000000000000000000,3,33;35;36
28,0x001C,0000000000011100,000000000001110000000000000000000000000000000000,3,34;35;36
30,0x001E,0000000000011110,000000000001111000000000000000000000000000000000,4,33;34;35;36
32,0x0020,0000000000100000,000000000010000000000000000000000000000000000000,1,37
36,0x0024,0000000000100100,000000000010010000000000000000000000000000000000,2,34;37
40,0x0028,0000000000101000,000000000010100000000000000000000000000000000000,2,35;37
44,0x002C,0000000000101100,000000000010110000000000000000000000000000000000,3,34;35;37
48,0x0030,0000000000110000,000000000011000000000000000000000000000000000000,2,36;37
52,0x0034,0000000000110100,000000000011010000000000000000000000000000000000,3,34;36;37
56,0x0038,0000000000111000,000000000011100000000000000000000000000000000000,3,35;36;37
60,0x003C,0000000000111100,000000000011110000000000000000000000000000000000,4,34;35;36;37
64,0x0040,0000000001000000,000000000100000000000000000000000000000000000000,1,38
72,0x0048,0000000001001000,000000000100100000000000000000000000000000000000,2,35;38
80,0x0050,0000000001010000,000000000101000000000000000000000000000000000000,2,36;38
88,0x0058,0000000001011000,000000000101100000000000000000000000000000000000,3,35;36;38
96,0x0060,0000000001100000,000000000110000000000000000000000000000000000000,2,37;38
104,0x0068,0000000001101000,000000000110100000000000000000000000000000000000,3,35;37;38
112,0x0070,0000000001110000,000000000111000000000000000000000000000000000000,3,36;37;38
120,0x0078,0000000001111000,000000000111100000000000000000000000000000000000,4,35;36;37;38
128,0x0080,0000000010000000,000000001000000000000000000000000000000000000000,1,39
144,0x0090,0000000010010000,000000001001000000000000000000000000000000000000,2,36;39
160,0x00A0,0000000010100000,000000001010000000000000000000000000000000000000,2,37;39
176,0x00B0,0000000010110000,000000001011000000000000000000000000000000000000,3,36;37;39
192,0x00C0,0000000011000000,000000001100000000000000000000000000000000000000,2,38;39
208,0x00D0,0000000011010000,000000001101000000000000000000000000000000000000,3,36;38;39
224,0x00E0,0000000011100000,000000001110000000000000000000000000000000000000,3,37;38;39
240,0x00F0,0000000011110000,000000001111000000000000000000000000000000000000,4,36;37;38;39
256,0x0100,0000000100000000,000000010000000000000000000000000000000000000000,1,40
288,0x0120,0000000100100000,000000010010000000000000000000000000000000000000,2,37;40
317,0x013D,0000000100111101,000000000000000000000000000001000000000000000000,1,18
320,0x0140,0000000101000000,000000010100000000000000000000000000000000000000,2,38;40
352,0x0160,0000000101100000,000000010110000000000000000000000000000000000000,3,37;38;40
384,0x0180,0000000110000000,000000011000000000000000000000000000000000000000,2,39;40
416,0x01A0,0000000110100000,000000011010000000000000000000000000000000000000,3,37;39;40
448,0x01C0,0000000111000000,000000011100000000000000000000000000000000000000,3,38;39;40
480,0x01E0,0000000111100000,000000011110000000000000000000000000000000000000,4,37;38;39;40
490,0x01EA,0000000111101010,000000000000000000000000000000001010000000000000,2,13;15
512,0x0200,0000001000000000,000000100000000000000000000000000000000000000000,1,41
576,0x0240,0000001001000000,000000100100000000000000000000000000000000000000,2,38;41
640,0x0280,0000001010000000,000000101000000000000000000000000000000000000000,2,39;41
704,0x02C0,0000001011000000,000000101100000000000000000000000000000000000000,3,38;39;41
768,0x0300,0000001100000000,000000110000000000000000000000000000000000000000,2,40;41
795,0x031B,0000001100011011,000000000000000000000001110000000000000000000000,3,22;23;24
832,0x0340,0000001101000000,000000110100000000000000000000000000000000000000,3,38;40;41
896,0x0380,0000001110000000,000000111000000000000000000000000000000000000000,3,39;40;41
960,0x03C0,0000001111000000,000000111100000000000000000000000000000000000000,4,38;39;40;41
1024,0x0400,0000010000000000,000001000000000000000000000000000000000000000000,1,42
1031,0x0407,0000010000000111,000000000000000000000000000000000000000010010000,2,4;7
1152,0x0480,0000010010000000,000001001000000000000000000000000000000000000000,2,39;42
1280,0x0500,0000010100000000,000001010000000000000000000000000000000000000000,2,40;42
1408,0x0580,0000010110000000,000001011000000000000000000000000000000000000000,3,39;40;42
1536,0x0600,0000011000000000,000001100000000000000000000000000000000000000000,2,41;42
1617,0x0651,0000011001010001,000000000000000000000000000000000000000000101100,3,2;3;5
1664,0x0680,0000011010000000,000001101000000000000000000000000000000000000000,3,39;41;42
1688,0x0698,0000011010011000,000000000000000000000000000000000000000000000001,1,0
1768,0x06E8,0000011011101000,000000000000000000000000000000000000000110100000,3,5;7;8
1792,0x0700,0000011100000000,000001110000000000000000000000000000000000000000,3,40;41;42
1920,0x0780,0000011110000000,000001111000000000000000000000000000000000000000,4,39;40;41;42
2048,0x0800,0000100000000000,000010000000000000000000000000000000000000000000,1,43
2304,0x0900,0000100100000000,000010010000000000000000000000000000000000000000,2,40;43
2405,0x0965,0000100101100101,000000000000000000000000000000000000000000000111,3,0;1;2
2560,0x0A00,0000101000000000,000010100000000000000000000000000000000000000000,2,41;43
2658,0x0A62,0000101001100010,000000000000000000001000000000000000000000000000,1,27
2816,0x0B00,0000101100000000,000010110000000000000000000000000000000000000000,3,40;41;43
2985,0x0BA9,0000101110101001,000000000000000000000000000000000000001011000000,3,6;7;9
3072,0x0C00,0000110000000000,000011000000000000000000000000000000000000000000,2,42;43
3328,0x0D00,0000110100000000,000011010000000000000000000000000000000000000000,3,40;42;43
3584,0x0E00,0000111000000000,000011100000000000000000000000000000000000000000,3,41;42;43
3840,0x0F00,0000111100000000,000011110000000000000000000000000000000000000000,4,40;41;42;43
4093,0x0FFD,0000111111111101,000000000000000000000000000000000000000000000110,2,1;2
4096,0x1000,0001000000000000,000100000000000000000000000000000000000000000000,1,44
4190,0x105E,0001000001011110,000000000000000000000000000000000000000001000000,1,6
4608,0x1200,0001001000000000,000100100000000000000000000000000000000000000000,2,41;44
5120,0x1400,0001010000000000,000101000000000000000000000000000000000000000000,2,42;44
5121,0x1401,0001010000000001,000000000000000000000000100100000000000000000000,2,20;23
5209,0x1459,0001010001011001,000000000000000000000000000000000000000011010000,3,4;6;7
5632,0x1600,0001011000000000,000101100000000000000000000000000000000000000000,3,41;42;44
5694,0x163E,0001011000111110,000000000000000000000000000001001000000000000000,2,15;18
5814,0x16B6,0001011010110110,000000000000000000000000000000000000000111100000,4,5;6;7;8
5865,0x16E9,0001011011101001,000000000000000000000000000000000010000000000000,1,13
5891,0x1703,0001011100000011,000000000000000000000000000000001000000000000000,1,15
5964,0x174C,0001011101001100,000000000000000000001101000000000000000000000000,3,24;26;27
6144,0x1800,0001100000000000,000110000000000000000000000000000000000000000000,2,43;44
6593,0x19C1,0001100111000001,000000000000000000000000000000000000111000000000,3,9;10;11
6656,0x1A00,0001101000000000,000110100000000000000000000000000000000000000000,3,41;43;44
6870,0x1AD6,0001101011010110,000000000000000000000000010110000000000000000000,3,19;20;22
7159,0x1BF7,0001101111110111,000000000000000000000000000000000000001010000000,2,7;9
